民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,初設原因,人數
112,,6,新店區,52歲,52,52,不相關,0.0,男,中華民國國民入境核准定居,0
112,,6,新店區,52歲,52,52,不相關,0.0,男,其他國籍人民核准定居,0
112,,6,新店區,52歲,52,52,不相關,0.0,男,大陸地區人民核准定居,0
112,,6,新店區,52歲,52,52,不相關,0.0,男,東南亞籍人民核准定居,0
112,,6,新店區,52歲,52,52,不相關,0.0,男,港澳居民核准定居,0
112,,6,新店區,52歲,52,52,不相關,0.0,男,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,53歲,53,53,不相關,0.0,女,中華民國國民入境核准定居,0
112,,6,新店區,53歲,53,53,不相關,0.0,女,其他國籍人民核准定居,0
112,,6,新店區,53歲,53,53,不相關,0.0,女,大陸地區人民核准定居,0
112,,6,新店區,53歲,53,53,不相關,0.0,女,東南亞籍人民核准定居,0
112,,6,新店區,53歲,53,53,不相關,0.0,女,港澳居民核准定居,1
112,,6,新店區,53歲,53,53,不相關,0.0,女,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,53歲,53,53,不相關,0.0,男,中華民國國民入境核准定居,0
112,,6,新店區,53歲,53,53,不相關,0.0,男,其他國籍人民核准定居,0
112,,6,新店區,53歲,53,53,不相關,0.0,男,大陸地區人民核准定居,0
112,,6,新店區,53歲,53,53,不相關,0.0,男,東南亞籍人民核准定居,0
112,,6,新店區,53歲,53,53,不相關,0.0,男,港澳居民核准定居,0
112,,6,新店區,53歲,53,53,不相關,0.0,男,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,54歲,54,54,不相關,0.0,女,中華民國國民入境核准定居,1
112,,6,新店區,54歲,54,54,不相關,0.0,女,其他國籍人民核准定居,0
112,,6,新店區,54歲,54,54,不相關,0.0,女,大陸地區人民核准定居,0
112,,6,新店區,54歲,54,54,不相關,0.0,女,東南亞籍人民核准定居,0
112,,6,新店區,54歲,54,54,不相關,0.0,女,港澳居民核准定居,2
112,,6,新店區,54歲,54,54,不相關,0.0,女,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,54歲,54,54,不相關,0.0,男,中華民國國民入境核准定居,0
112,,6,新店區,54歲,54,54,不相關,0.0,男,其他國籍人民核准定居,0
112,,6,新店區,54歲,54,54,不相關,0.0,男,大陸地區人民核准定居,1
112,,6,新店區,54歲,54,54,不相關,0.0,男,東南亞籍人民核准定居,0
112,,6,新店區,54歲,54,54,不相關,0.0,男,港澳居民核准定居,1
112,,6,新店區,54歲,54,54,不相關,0.0,男,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,55歲,55,55,不相關,0.0,女,中華民國國民入境核准定居,1
112,,6,新店區,55歲,55,55,不相關,0.0,女,其他國籍人民核准定居,0
112,,6,新店區,55歲,55,55,不相關,0.0,女,大陸地區人民核准定居,1
112,,6,新店區,55歲,55,55,不相關,0.0,女,東南亞籍人民核准定居,0
112,,6,新店區,55歲,55,55,不相關,0.0,女,港澳居民核准定居,0
112,,6,新店區,55歲,55,55,不相關,0.0,女,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,55歲,55,55,不相關,0.0,男,中華民國國民入境核准定居,0
112,,6,新店區,55歲,55,55,不相關,0.0,男,其他國籍人民核准定居,0
112,,6,新店區,55歲,55,55,不相關,0.0,男,大陸地區人民核准定居,0
112,,6,新店區,55歲,55,55,不相關,0.0,男,東南亞籍人民核准定居,0
112,,6,新店區,55歲,55,55,不相關,0.0,男,港澳居民核准定居,0
112,,6,新店區,55歲,55,55,不相關,0.0,男,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,56歲,56,56,不相關,0.0,女,中華民國國民入境核准定居,1
112,,6,新店區,56歲,56,56,不相關,0.0,女,其他國籍人民核准定居,0
112,,6,新店區,56歲,56,56,不相關,0.0,女,大陸地區人民核准定居,0
112,,6,新店區,56歲,56,56,不相關,0.0,女,東南亞籍人民核准定居,0
112,,6,新店區,56歲,56,56,不相關,0.0,女,港澳居民核准定居,0
112,,6,新店區,56歲,56,56,不相關,0.0,女,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,56歲,56,56,不相關,0.0,男,中華民國國民入境核准定居,0
112,,6,新店區,56歲,56,56,不相關,0.0,男,其他國籍人民核准定居,0
112,,6,新店區,56歲,56,56,不相關,0.0,男,大陸地區人民核准定居,0
112,,6,新店區,56歲,56,56,不相關,0.0,男,東南亞籍人民核准定居,0
112,,6,新店區,56歲,56,56,不相關,0.0,男,港澳居民核准定居,0
112,,6,新店區,56歲,56,56,不相關,0.0,男,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,57歲,57,57,不相關,0.0,女,中華民國國民入境核准定居,0
112,,6,新店區,57歲,57,57,不相關,0.0,女,其他國籍人民核准定居,0
112,,6,新店區,57歲,57,57,不相關,0.0,女,大陸地區人民核准定居,0
112,,6,新店區,57歲,57,57,不相關,0.0,女,東南亞籍人民核准定居,0
112,,6,新店區,57歲,57,57,不相關,0.0,女,港澳居民核准定居,1
112,,6,新店區,57歲,57,57,不相關,0.0,女,臺灣地區逾12歲未辦出生登記,0
112,,6,新店區,57歲,57,57,不相關,0.0,男,中華民國國民入境核准定居,0
112,,6,新店區,57歲,57,57,不相關,0.0,男,其他國籍人民核准定居,0
112,,6,新店區,57歲,57,57,不相關,0.0,男,大陸地區人民核准定居,0
112,,6,新店區,57歲,57,57,不相關,0.0,男,東南亞籍人民核准定居,0
