民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,事件,教育程度,婚姻類型,人數
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,國中,不同性別,27
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,國中,相同性別,1
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,國小以下,不同性別,7
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,國小以下,相同性別,0
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,大學,不同性別,431
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,大學,相同性別,7
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,專科,不同性別,32
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,專科,相同性別,0
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,碩士,不同性別,91
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,碩士,相同性別,3
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,高中職,不同性別,87
111,,3,中和區,30～34歲,30,34,完全落入,1.0,女,結婚,高中職,相同性別,4
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,博士,不同性別,4
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,博士,相同性別,0
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,國中,不同性別,31
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,國中,相同性別,1
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,國小以下,不同性別,4
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,國小以下,相同性別,0
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,大學,不同性別,327
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,大學,相同性別,1
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,專科,不同性別,25
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,專科,相同性別,0
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,碩士,不同性別,139
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,碩士,相同性別,2
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,高中職,不同性別,115
111,,3,中和區,30～34歲,30,34,完全落入,1.0,男,結婚,高中職,相同性別,2
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,博士,不同性別,2
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,博士,相同性別,1
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,國中,不同性別,22
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,國中,相同性別,1
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,國小以下,不同性別,6
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,國小以下,相同性別,0
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,大學,不同性別,152
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,大學,相同性別,2
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,專科,不同性別,23
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,專科,相同性別,4
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,碩士,不同性別,42
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,碩士,相同性別,3
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,高中職,不同性別,60
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,女,結婚,高中職,相同性別,3
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,博士,不同性別,8
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,博士,相同性別,0
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,國中,不同性別,36
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,國中,相同性別,0
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,國小以下,不同性別,3
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,國小以下,相同性別,0
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,大學,不同性別,169
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,大學,相同性別,1
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,專科,不同性別,25
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,專科,相同性別,0
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,碩士,不同性別,77
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,碩士,相同性別,3
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,高中職,不同性別,83
111,,3,中和區,35～39歲,35,39,部分重疊,0.2,男,結婚,高中職,相同性別,1
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,博士,不同性別,0
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,博士,相同性別,1
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,國中,不同性別,13
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,國中,相同性別,0
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,國小以下,不同性別,7
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,國小以下,相同性別,0
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,大學,不同性別,34
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,大學,相同性別,6
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,專科,不同性別,25
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,專科,相同性別,2
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,碩士,不同性別,14
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,碩士,相同性別,2
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,高中職,不同性別,58
111,,3,中和區,40～44歲,40,44,不相關,0.0,女,結婚,高中職,相同性別,4
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,博士,不同性別,3
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,博士,相同性別,0
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,國中,不同性別,22
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,國中,相同性別,0
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,國小以下,不同性別,4
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,國小以下,相同性別,0
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,大學,不同性別,68
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,大學,相同性別,3
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,專科,不同性別,36
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,專科,相同性別,0
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,碩士,不同性別,35
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,碩士,相同性別,0
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,高中職,不同性別,58
111,,3,中和區,40～44歲,40,44,不相關,0.0,男,結婚,高中職,相同性別,1
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,博士,不同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,博士,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,國中,不同性別,7
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,國中,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,國小以下,不同性別,2
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,國小以下,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,大學,不同性別,22
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,大學,相同性別,3
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,專科,不同性別,12
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,專科,相同性別,1
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,碩士,不同性別,3
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,碩士,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,高中職,不同性別,22
111,,3,中和區,45～49歲,45,49,不相關,0.0,女,結婚,高中職,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,博士,不同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,博士,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,國中,不同性別,11
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,國中,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,國小以下,不同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,國小以下,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,大學,不同性別,27
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,大學,相同性別,2
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,專科,不同性別,15
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,專科,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,碩士,不同性別,7
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,碩士,相同性別,0
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,高中職,不同性別,37
111,,3,中和區,45～49歲,45,49,不相關,0.0,男,結婚,高中職,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,博士,不同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,博士,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,國中,不同性別,9
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,國中,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,國小以下,不同性別,1
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,國小以下,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,大學,不同性別,4
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,大學,相同性別,1
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,專科,不同性別,6
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,專科,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,碩士,不同性別,3
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,碩士,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,高中職,不同性別,18
111,,3,中和區,50～54歲,50,54,不相關,0.0,女,結婚,高中職,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,博士,不同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,博士,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,國中,不同性別,6
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,國中,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,國小以下,不同性別,1
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,國小以下,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,大學,不同性別,10
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,大學,相同性別,1
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,專科,不同性別,8
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,專科,相同性別,0
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,碩士,不同性別,6
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,碩士,相同性別,1
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,高中職,不同性別,27
111,,3,中和區,50～54歲,50,54,不相關,0.0,男,結婚,高中職,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,博士,不同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,博士,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,國中,不同性別,3
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,國中,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,國小以下,不同性別,1
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,國小以下,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,大學,不同性別,4
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,大學,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,專科,不同性別,2
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,專科,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,碩士,不同性別,1
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,碩士,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,高中職,不同性別,13
111,,3,中和區,55～59歲,55,59,不相關,0.0,女,結婚,高中職,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,博士,不同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,博士,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,國中,不同性別,4
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,國中,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,國小以下,不同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,國小以下,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,大學,不同性別,5
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,大學,相同性別,1
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,專科,不同性別,4
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,專科,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,碩士,不同性別,2
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,碩士,相同性別,0
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,高中職,不同性別,17
111,,3,中和區,55～59歲,55,59,不相關,0.0,男,結婚,高中職,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,博士,不同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,博士,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,國中,不同性別,5
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,國中,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,國小以下,不同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,國小以下,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,大學,不同性別,2
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,大學,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,專科,不同性別,3
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,專科,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,碩士,不同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,碩士,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,高中職,不同性別,7
111,,3,中和區,60～64歲,60,64,不相關,0.0,女,結婚,高中職,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,博士,不同性別,1
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,博士,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,國中,不同性別,2
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,國中,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,國小以下,不同性別,1
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,國小以下,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,大學,不同性別,11
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,大學,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,專科,不同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,專科,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,碩士,不同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,碩士,相同性別,0
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,高中職,不同性別,7
111,,3,中和區,60～64歲,60,64,不相關,0.0,男,結婚,高中職,相同性別,0
111,,3,中和區,65歲以上,65,120,不相關,0.0,女,結婚,博士,不同性別,0
111,,3,中和區,65歲以上,65,120,不相關,0.0,女,結婚,博士,相同性別,0
111,,3,中和區,65歲以上,65,120,不相關,0.0,女,結婚,國中,不同性別,5
111,,3,中和區,65歲以上,65,120,不相關,0.0,女,結婚,國中,相同性別,0
111,,3,中和區,65歲以上,65,120,不相關,0.0,女,結婚,國小以下,不同性別,3
