民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,other,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,5
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,4
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,合計,7
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,合計,7
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,國外,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,國外,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,新北市內,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,新北市內,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,桃園市,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,桃園市,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,福建省,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,福建省,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺中市,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺中市,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺北市,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺北市,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺南市,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺南市,1
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺灣省,2
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺灣省,1
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷入,高雄市,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷入,高雄市,1
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,migrants,15
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,migrants,7
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,other,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,other,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,23
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,13
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,合計,30
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,合計,21
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,國外,1
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,國外,1
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,新北市內,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,新北市內,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,桃園市,3
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,桃園市,1
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,福建省,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,福建省,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,臺中市,1
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,臺中市,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,臺北市,1
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,臺北市,3
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,臺南市,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,臺南市,0
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,臺灣省,0
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,臺灣省,3
114,5,29,烏來區,,,,無年齡維度,0.0,女,遷出,高雄市,1
114,5,29,烏來區,,,,無年齡維度,0.0,男,遷出,高雄市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,migrants,11
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,migrants,10
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,other,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,other,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,10
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,4
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,合計,15
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,合計,6
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,國外,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,國外,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,新北市內,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,新北市內,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,桃園市,1
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,桃園市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,福建省,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,福建省,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺中市,1
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺中市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺北市,1
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺北市,1
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺南市,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺南市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺灣省,2
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺灣省,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷入,高雄市,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷入,高雄市,1
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,migrants,11
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,migrants,10
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,other,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,other,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,2
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,5
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,合計,6
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,合計,7
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,國外,1
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,國外,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,新北市內,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,新北市內,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,桃園市,1
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,桃園市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,福建省,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,福建省,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,臺中市,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,臺中市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,臺北市,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,臺北市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,臺南市,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,臺南市,0
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,臺灣省,2
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,臺灣省,2
114,6,29,烏來區,,,,無年齡維度,0.0,女,遷出,高雄市,0
114,6,29,烏來區,,,,無年齡維度,0.0,男,遷出,高雄市,0
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,migrants,3
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,migrants,4
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,other,0
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,other,0
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,5
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,4
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,合計,7
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,合計,8
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,國外,0
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,國外,0
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,新北市內,0
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,新北市內,0
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,桃園市,0
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,桃園市,0
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,福建省,1
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,福建省,0
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺中市,0
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺中市,0
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺北市,0
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺北市,1
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺南市,0
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺南市,0
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,臺灣省,1
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,臺灣省,3
114,7,29,烏來區,,,,無年齡維度,0.0,女,遷入,高雄市,0
114,7,29,烏來區,,,,無年齡維度,0.0,男,遷入,高雄市,0
